problem,data,model,model_label,N,seed,test_fe,val_fe,best_epoch,epochs_run,w,n_params
Fourier(25),fourier25,peds,PEDS físico,64,7,0.0745,0.0708,360,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,8,0.0747,0.071,370,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,64,9,0.0747,0.0711,360,,,23066.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,0,0.2503,0.2385,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,1,1.0362,1.0327,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,2,0.6477,0.6574,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,3,0.4964,0.5115,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,4,0.4369,0.4342,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,5,0.2697,0.2833,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,6,0.2216,0.2249,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,7,0.2661,0.2566,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,8,0.5207,0.5249,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,64,9,0.2586,0.2577,400,,,23092.0
Fourier(25),fourier25,nn_only,NN-only,64,0,0.1081,0.1082,370,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,1,0.1251,0.1255,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,2,0.1246,0.1243,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,3,0.1138,0.1131,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,4,0.1119,0.1111,390,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,5,0.1151,0.1155,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,6,0.109,0.1083,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,7,0.1081,0.1075,150,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,8,0.1153,0.1149,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,64,9,0.1193,0.119,400,,,23091.0
Fourier(25),fourier25,peds,PEDS físico,128,0,0.0746,0.0709,160,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,1,0.0745,0.0709,170,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,2,0.0754,0.0716,170,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,3,0.0747,0.0711,160,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,4,0.0747,0.0711,150,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,5,0.0749,0.071,170,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,6,0.0749,0.0712,150,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,7,0.0748,0.0711,150,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,8,0.075,0.0713,160,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,128,9,0.0749,0.0713,170,,,23066.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,0,0.218,0.2086,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,1,0.5144,0.5093,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,2,0.2554,0.2598,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,3,0.2331,0.2558,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,4,0.2384,0.2409,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,5,0.2358,0.2446,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,6,0.186,0.1907,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,7,0.2118,0.2076,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,8,0.2509,0.2571,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,128,9,0.2594,0.2586,190,,,23092.0
Fourier(25),fourier25,nn_only,NN-only,128,0,0.1078,0.1078,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,1,0.1211,0.1224,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,2,0.119,0.1193,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,3,0.1122,0.1113,380,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,4,0.1113,0.1114,360,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,5,0.1113,0.1129,400,,,23091.0
